해당연도,사업장명칭,소재지,지정분야,데이터기준일자
2024,(주)광동,제주특별자치도 제주시 일주서로 7832 (연동),수질분야5,2024-07-19
2024,(주)대동,제주특별자치도 제주시 구좌읍 행원로13길 39,대기분야4+수질분야4,2024-07-19
2024,(주)무수천주유소,제주특별자치도 제주시 노형로 45 (해안동),수질분야5,2024-07-19
2024,(주)무지개렌트카,제주특별자치도 제주시 제성1길 30 (도두이동),수질분야5,2024-07-19
2024,(주)제성자동차공업사,제주특별자치도 제주시 선반로 92 (화북일동),대기분야4+기타분야,2024-07-19
2024,(주)제주원렌트카,제주특별자치도 제주시 용해로 58-7(용담이동),수질분야5,2024-07-19
2024,GS칼텍스㈜제주물류센터,제주특별자치도 제주시 임항로 168(건입동),대기분야5,2024-07-19
2024,공단주유소,제주특별자치도 제주시 연삼로 727 (화북이동),수질분야5,2024-07-19
2024,극동가스충전소,제주특별자치도 제주시 동광로 141 (일도이동),수질분야5,2024-07-19
2024,금정자동차공업사,제주특별자치도 제주시 선반남2길 13 (화북일동),대기분야4+기타분야,2024-07-19
2024,남동주유소,제주특별자치도 제주시 남광로 78 (이도이동),수질분야5,2024-07-19
2024,내트럭자동세차,제주특별자치도 제주시 번영로 345 (도련일동),수질분야5,2024-07-19
2024,뉴금성자동차공업사,제주특별자치도 제주시 도령로 7-1 (노형동),대기분야4+기타분야,2024-07-19
2024,도남자동차공업사,제주특별자치도 제주시 원남6길 86 (도남동),대기분야5+기타분야,2024-07-19
2024,동아주유소,제주특별자치도 제주시 동광로 178 (건입동),수질분야5,2024-07-19
2024,동일주유소,제주특별자치도 제주시 동광로 103 (일도이동),수질분야5,2024-07-19
2024,명진자동차공업사,제주특별자치도 제주시 동고산로 9 (이도이동),대기분야5+기타분야,2024-07-19
2024,삼진주유소,제주특별자치도 제주시 용문로 54 (용담이동),수질분야5,2024-07-19
2024,삼화석유㈜삼화주유소,제주특별자치도 제주시 서광로 210 (삼도일동),수질분야5,2024-07-19
2024,삼화석유㈜천마주유소,제주특별자치도 제주시 임항로 94 (건입동),수질분야5,2024-07-19
2024,서광로주유소,제주특별자치도 제주시 서광로 125 (용담이동),수질분야5,2024-07-19
2024,성신주유소,제주특별자치도 제주시 연삼로 159 (오라이동),수질분야5,2024-07-19
2024,세일자동차공업(주),제주특별자치도 제주시 중앙로 495 (아라이동),대기분야5+기타분야,2024-07-19
2024,세진자동차공업사,제주특별자치도 제주시 화남로 12 (화북일동),대기분야4+기타분야,2024-07-19
2024,세차클럽,제주특별자치도 제주시 월광로 151 (노형동),수질분야5,2024-07-19
2024,소명충전소,제주특별자치도 제주시 한북로 313 (아라일동),수질분야5,2024-07-19
2024,수성카클리닉,제주특별자치도 제주시 남광로 156 (일도이동),수질분야5,2024-07-19
2024,아시아나에어포트㈜ 제주지점,제주특별자치도 제주시 용문로 71 (용담이동),수질분야5,2024-07-19
2024,안전LPG충전소,제주특별자치도 제주시 연삼로 640 (건입동),수질분야5,2024-07-19
2024,엔크린주유소,제주특별자치도 제주시 일주서로 7650 (이호이동),수질분야5,2024-07-19
2024,영화자동차공업사,제주특별자치도 제주시 선반로 78 (화북일동),대기분야5+기타분야,2024-07-19
2024,용담주유소,제주특별자치도 제주시 용담로 136 (용담일동),수질분야5,2024-07-19
2024,임덕방사선과의원,제주특별자치도 제주시 중앙로 77 (이도일동),기타분야,2024-07-19
2024,재은자동차공업사,제주특별자치도 제주시 연신로 67 (이도이동),대기분야4+기타분야,2024-07-19
2024,정우오라LPG충전소,제주특별자치도 제주시 오남로 150 (오라이동),수질분야5,2024-07-19
2024,제주OK충전소,제주특별자치도 제주시 일주서로 7588 (이호이동),수질분야5,2024-07-19
2024,제주그로우 농업회사법인 주식회사,제주특별자치도 제주시 구좌읍 동복남4길 113,대기분야5+수질분야5,2024-07-19
2024,제주대학교,제주특별자치도 제주시 제주대학로 102(아라일동),대기분야4+수질분야5,2024-07-19
2024,제주시농협동부주유소,제주특별자치도 제주시 번영로 417 (봉개동),수질분야5,2024-07-19
2024,제주시농협서부주유소,제주특별자치도 제주시 일주서로 7422 (내도동),수질분야5,2024-07-19
2024,제주카프로,제주특별자치도 제주시 남광로 220 (건입동),수질분야5,2024-07-19
2024,제주특별자치도 농업기술원,제주특별자치도 제주시 구좌읍 김녕남6길 8,수질분야5,2024-07-19
2024,제주특별자치도보건환경연구원,제주특별자치도 제주시 삼동길 41 (연동),수질분야5,2024-07-19
2024,조양산업,제주특별자치도 제주시 화남로 48 (화북일동),대기분야4+수질분야4,2024-07-19
2024,㈜건풍바이오,제주특별자치도 제주시 한림읍 금능농공길 62,대기분야5,2024-07-19
2024,㈜삼광개발,제주특별자치도 제주시 탑동로 47 (삼도이동),대기분야4,2024-07-19
2024,주식회사 산지공업사,제주특별자치도 제주시 선반로 62 (화북일동),대기분야5+기타분야,2024-07-19
2024,중앙자동차공업사(주),제주특별자치도 제주시 연삼로 57 (연동),대기분야5+기타분야,2024-07-19
2024,케이지모빌리티제주서비스센터 주식회사,제주특별자치도 제주시 선반로 59 (화북일동),대기분야5+기타분야,2024-07-19
2024,터미널세차장,제주특별자치도 제주시 서광로 178-4 (오라일동),수질분야5,2024-07-19
2024,하귀농업협동조합 동부지점,제주특별자치도 제주시 애월읍 일주서로 7136,수질분야5,2024-07-19
2024,한국공항㈜,제주특별자치도 제주시 공항로 2 (용담이동),수질분야5,2024-07-19
2024,한국에너지기술연구원,제주특별자치도 제주시 구좌읍 해맞이해안로 200,수질분야5,2024-07-19
2024,현대자동차(주)제주하이테크센터,제주특별자치도 제주시 조천읍 일주동로 1323,대기분야4+기타분야,2024-07-19
2024,현대차량관리,제주특별자치도 제주시 화남로 19 (화북일동),대기분야5+기타분야,2024-07-19
2024,한국공항공사 제주공항,제주특별자치도 제주시 공항로 2 (용담이동),대기분야4,2024-07-19
2024,제주특별자치도 동물위생시험소,제주특별자치도 제주시 조천읍 번영로 941,수질분야5,2024-07-19
2024,삼남석유㈜삼광충전소,제주특별자치도 제주시 번영로 152,수질분야5,2024-07-19
